1,0,240
2,1,114
3,1,115
4,0,114
5,0,115
6,2,114
7,2,115
8,1,105
9,1,106
10,1,107
11,0,113
12,0,105
13,0,106
14,0,107
15,2,113
16,2,105
17,2,106
18,2,107
19,1,113
20,1,96
21,1,97
22,1,98
23,1,99
24,0,112
25,0,104
26,0,96
27,0,97
28,0,98
29,0,99
30,2,112
31,2,104
32,2,96
33,2,97
34,2,98
35,2,99
36,1,112
37,1,104
38,1,95
39,1,88
40,1,89
41,1,90
42,1,91
43,0,119
44,0,111
45,0,103
46,0,95
47,0,88
48,0,89
49,0,90
50,0,91
51,2,119
52,2,111
53,2,103
54,2,95
55,2,88
56,2,89
57,2,90
58,2,91
59,1,119
60,1,111
61,1,103
62,1,86
63,1,87
64,1,80
65,1,81
66,1,82
67,1,83
68,0,118
69,0,110
70,0,102
71,0,94
72,0,86
73,0,87
74,0,80
75,0,81
76,0,82
77,0,83
78,2,118
79,2,110
80,2,102
81,2,94
82,2,86
83,2,87
84,2,80
85,2,81
86,2,82
87,2,83
88,1,118
89,1,110
90,1,102
91,1,94
92,1,77
93,1,78
94,1,79
95,1,72
96,1,73
97,1,74
98,1,75
99,0,117
100,0,109
101,0,101
102,0,93
103,0,85
104,0,77
105,0,78
106,0,79
107,0,72
108,0,73
109,0,74
110,0,75
111,2,117
112,2,109
113,2,101
114,2,93
115,2,85
116,2,77
117,2,78
118,2,79
119,2,72
120,2,73
121,2,74
122,2,75
123,1,117
124,1,109
125,1,101
126,1,93
127,1,85
128,1,68
129,1,69
130,1,70
131,1,71
132,1,64
133,1,65
134,1,66
135,1,67
136,0,116
137,0,108
138,0,100
139,0,92
140,0,84
141,0,76
142,0,68
143,0,69
144,0,70
145,0,71
146,0,64
147,0,65
148,0,66
149,0,67
150,2,116
151,2,108
152,2,100
153,2,92
154,2,84
155,2,76
156,2,68
157,2,69
158,2,70
159,2,71
160,2,64
161,2,65
162,2,66
163,2,67
164,1,116
165,1,108
166,1,100
167,1,92
168,1,84
169,1,76
170,1,179
171,1,60
172,1,61
173,1,62
174,1,63
175,1,56
176,1,57
177,1,58
178,1,59
179,0,235
180,0,227
181,0,219
182,0,211
183,0,203
184,0,195
185,0,187
186,0,179
187,0,60
188,0,61
189,0,62
190,0,63
191,0,56
192,0,57
193,0,58
194,0,59
